datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/6/2017 12:00:00 AM,1/5/2017 7:00:00 PM,1/6/2017 1:00:00 AM,1/5/2017 8:00:00 PM,DUQ,1934
1/6/2017 1:00:00 AM,1/5/2017 8:00:00 PM,1/6/2017 2:00:00 AM,1/5/2017 9:00:00 PM,DUQ,1902
1/6/2017 2:00:00 AM,1/5/2017 9:00:00 PM,1/6/2017 3:00:00 AM,1/5/2017 10:00:00 PM,DUQ,1821
1/6/2017 3:00:00 AM,1/5/2017 10:00:00 PM,1/6/2017 4:00:00 AM,1/5/2017 11:00:00 PM,DUQ,1727
1/6/2017 4:00:00 AM,1/5/2017 11:00:00 PM,1/6/2017 5:00:00 AM,1/6/2017 12:00:00 AM,DUQ,1632
1/6/2017 5:00:00 AM,1/6/2017 12:00:00 AM,1/6/2017 6:00:00 AM,1/6/2017 1:00:00 AM,DUQ,1561
1/6/2017 6:00:00 AM,1/6/2017 1:00:00 AM,1/6/2017 7:00:00 AM,1/6/2017 2:00:00 AM,DUQ,1522
1/6/2017 7:00:00 AM,1/6/2017 2:00:00 AM,1/6/2017 8:00:00 AM,1/6/2017 3:00:00 AM,DUQ,1530
1/6/2017 8:00:00 AM,1/6/2017 3:00:00 AM,1/6/2017 9:00:00 AM,1/6/2017 4:00:00 AM,DUQ,1518
1/6/2017 9:00:00 AM,1/6/2017 4:00:00 AM,1/6/2017 10:00:00 AM,1/6/2017 5:00:00 AM,DUQ,1566
1/6/2017 10:00:00 AM,1/6/2017 5:00:00 AM,1/6/2017 11:00:00 AM,1/6/2017 6:00:00 AM,DUQ,1635
1/6/2017 11:00:00 AM,1/6/2017 6:00:00 AM,1/6/2017 12:00:00 PM,1/6/2017 7:00:00 AM,DUQ,1764
1/6/2017 12:00:00 PM,1/6/2017 7:00:00 AM,1/6/2017 1:00:00 PM,1/6/2017 8:00:00 AM,DUQ,1853
1/6/2017 1:00:00 PM,1/6/2017 8:00:00 AM,1/6/2017 2:00:00 PM,1/6/2017 9:00:00 AM,DUQ,1871
1/6/2017 2:00:00 PM,1/6/2017 9:00:00 AM,1/6/2017 3:00:00 PM,1/6/2017 10:00:00 AM,DUQ,1876
1/6/2017 3:00:00 PM,1/6/2017 10:00:00 AM,1/6/2017 4:00:00 PM,1/6/2017 11:00:00 AM,DUQ,1894
1/6/2017 4:00:00 PM,1/6/2017 11:00:00 AM,1/6/2017 5:00:00 PM,1/6/2017 12:00:00 PM,DUQ,1883
1/6/2017 5:00:00 PM,1/6/2017 12:00:00 PM,1/6/2017 6:00:00 PM,1/6/2017 1:00:00 PM,DUQ,1878
1/6/2017 6:00:00 PM,1/6/2017 1:00:00 PM,1/6/2017 7:00:00 PM,1/6/2017 2:00:00 PM,DUQ,1865
1/6/2017 7:00:00 PM,1/6/2017 2:00:00 PM,1/6/2017 8:00:00 PM,1/6/2017 3:00:00 PM,DUQ,1842
1/6/2017 8:00:00 PM,1/6/2017 3:00:00 PM,1/6/2017 9:00:00 PM,1/6/2017 4:00:00 PM,DUQ,1831
1/6/2017 9:00:00 PM,1/6/2017 4:00:00 PM,1/6/2017 10:00:00 PM,1/6/2017 5:00:00 PM,DUQ,1850
1/6/2017 10:00:00 PM,1/6/2017 5:00:00 PM,1/6/2017 11:00:00 PM,1/6/2017 6:00:00 PM,DUQ,1938
1/6/2017 11:00:00 PM,1/6/2017 6:00:00 PM,1/7/2017 12:00:00 AM,1/6/2017 7:00:00 PM,DUQ,1960
1/7/2017 12:00:00 AM,1/6/2017 7:00:00 PM,1/7/2017 1:00:00 AM,1/6/2017 8:00:00 PM,DUQ,1945
1/7/2017 1:00:00 AM,1/6/2017 8:00:00 PM,1/7/2017 2:00:00 AM,1/6/2017 9:00:00 PM,DUQ,1922
1/7/2017 2:00:00 AM,1/6/2017 9:00:00 PM,1/7/2017 3:00:00 AM,1/6/2017 10:00:00 PM,DUQ,1860
1/7/2017 3:00:00 AM,1/6/2017 10:00:00 PM,1/7/2017 4:00:00 AM,1/6/2017 11:00:00 PM,DUQ,1782
1/7/2017 4:00:00 AM,1/6/2017 11:00:00 PM,1/7/2017 5:00:00 AM,1/7/2017 12:00:00 AM,DUQ,1705
1/7/2017 5:00:00 AM,1/7/2017 12:00:00 AM,1/7/2017 6:00:00 AM,1/7/2017 1:00:00 AM,DUQ,1647
1/7/2017 6:00:00 AM,1/7/2017 1:00:00 AM,1/7/2017 7:00:00 AM,1/7/2017 2:00:00 AM,DUQ,1594
1/7/2017 7:00:00 AM,1/7/2017 2:00:00 AM,1/7/2017 8:00:00 AM,1/7/2017 3:00:00 AM,DUQ,1584
1/7/2017 8:00:00 AM,1/7/2017 3:00:00 AM,1/7/2017 9:00:00 AM,1/7/2017 4:00:00 AM,DUQ,1589
1/7/2017 9:00:00 AM,1/7/2017 4:00:00 AM,1/7/2017 10:00:00 AM,1/7/2017 5:00:00 AM,DUQ,1592
1/7/2017 10:00:00 AM,1/7/2017 5:00:00 AM,1/7/2017 11:00:00 AM,1/7/2017 6:00:00 AM,DUQ,1613
1/7/2017 11:00:00 AM,1/7/2017 6:00:00 AM,1/7/2017 12:00:00 PM,1/7/2017 7:00:00 AM,DUQ,1667
1/7/2017 12:00:00 PM,1/7/2017 7:00:00 AM,1/7/2017 1:00:00 PM,1/7/2017 8:00:00 AM,DUQ,1716
1/7/2017 1:00:00 PM,1/7/2017 8:00:00 AM,1/7/2017 2:00:00 PM,1/7/2017 9:00:00 AM,DUQ,1754
1/7/2017 2:00:00 PM,1/7/2017 9:00:00 AM,1/7/2017 3:00:00 PM,1/7/2017 10:00:00 AM,DUQ,1799
1/7/2017 3:00:00 PM,1/7/2017 10:00:00 AM,1/7/2017 4:00:00 PM,1/7/2017 11:00:00 AM,DUQ,1808
1/7/2017 4:00:00 PM,1/7/2017 11:00:00 AM,1/7/2017 5:00:00 PM,1/7/2017 12:00:00 PM,DUQ,1810
1/7/2017 5:00:00 PM,1/7/2017 12:00:00 PM,1/7/2017 6:00:00 PM,1/7/2017 1:00:00 PM,DUQ,1795
1/7/2017 6:00:00 PM,1/7/2017 1:00:00 PM,1/7/2017 7:00:00 PM,1/7/2017 2:00:00 PM,DUQ,1781
1/7/2017 7:00:00 PM,1/7/2017 2:00:00 PM,1/7/2017 8:00:00 PM,1/7/2017 3:00:00 PM,DUQ,1791
1/7/2017 8:00:00 PM,1/7/2017 3:00:00 PM,1/7/2017 9:00:00 PM,1/7/2017 4:00:00 PM,DUQ,1792
1/7/2017 9:00:00 PM,1/7/2017 4:00:00 PM,1/7/2017 10:00:00 PM,1/7/2017 5:00:00 PM,DUQ,1812
1/7/2017 10:00:00 PM,1/7/2017 5:00:00 PM,1/7/2017 11:00:00 PM,1/7/2017 6:00:00 PM,DUQ,1903
1/7/2017 11:00:00 PM,1/7/2017 6:00:00 PM,1/8/2017 12:00:00 AM,1/7/2017 7:00:00 PM,DUQ,1938
1/8/2017 12:00:00 AM,1/7/2017 7:00:00 PM,1/8/2017 1:00:00 AM,1/7/2017 8:00:00 PM,DUQ,1920
1/8/2017 1:00:00 AM,1/7/2017 8:00:00 PM,1/8/2017 2:00:00 AM,1/7/2017 9:00:00 PM,DUQ,1908
1/8/2017 2:00:00 AM,1/7/2017 9:00:00 PM,1/8/2017 3:00:00 AM,1/7/2017 10:00:00 PM,DUQ,1871
1/8/2017 3:00:00 AM,1/7/2017 10:00:00 PM,1/8/2017 4:00:00 AM,1/7/2017 11:00:00 PM,DUQ,1803
1/8/2017 4:00:00 AM,1/7/2017 11:00:00 PM,1/8/2017 5:00:00 AM,1/8/2017 12:00:00 AM,DUQ,1735
1/8/2017 5:00:00 AM,1/8/2017 12:00:00 AM,1/8/2017 6:00:00 AM,1/8/2017 1:00:00 AM,DUQ,1672
1/8/2017 6:00:00 AM,1/8/2017 1:00:00 AM,1/8/2017 7:00:00 AM,1/8/2017 2:00:00 AM,DUQ,1630
1/8/2017 7:00:00 AM,1/8/2017 2:00:00 AM,1/8/2017 8:00:00 AM,1/8/2017 3:00:00 AM,DUQ,1596
1/8/2017 8:00:00 AM,1/8/2017 3:00:00 AM,1/8/2017 9:00:00 AM,1/8/2017 4:00:00 AM,DUQ,1604
1/8/2017 9:00:00 AM,1/8/2017 4:00:00 AM,1/8/2017 10:00:00 AM,1/8/2017 5:00:00 AM,DUQ,1607
1/8/2017 10:00:00 AM,1/8/2017 5:00:00 AM,1/8/2017 11:00:00 AM,1/8/2017 6:00:00 AM,DUQ,1641
1/8/2017 11:00:00 AM,1/8/2017 6:00:00 AM,1/8/2017 12:00:00 PM,1/8/2017 7:00:00 AM,DUQ,1677
1/8/2017 12:00:00 PM,1/8/2017 7:00:00 AM,1/8/2017 1:00:00 PM,1/8/2017 8:00:00 AM,DUQ,1734
1/8/2017 1:00:00 PM,1/8/2017 8:00:00 AM,1/8/2017 2:00:00 PM,1/8/2017 9:00:00 AM,DUQ,1763
1/8/2017 2:00:00 PM,1/8/2017 9:00:00 AM,1/8/2017 3:00:00 PM,1/8/2017 10:00:00 AM,DUQ,1804
1/8/2017 3:00:00 PM,1/8/2017 10:00:00 AM,1/8/2017 4:00:00 PM,1/8/2017 11:00:00 AM,DUQ,1822
1/8/2017 4:00:00 PM,1/8/2017 11:00:00 AM,1/8/2017 5:00:00 PM,1/8/2017 12:00:00 PM,DUQ,1832
1/8/2017 5:00:00 PM,1/8/2017 12:00:00 PM,1/8/2017 6:00:00 PM,1/8/2017 1:00:00 PM,DUQ,1837
1/8/2017 6:00:00 PM,1/8/2017 1:00:00 PM,1/8/2017 7:00:00 PM,1/8/2017 2:00:00 PM,DUQ,1827
1/8/2017 7:00:00 PM,1/8/2017 2:00:00 PM,1/8/2017 8:00:00 PM,1/8/2017 3:00:00 PM,DUQ,1832
1/8/2017 8:00:00 PM,1/8/2017 3:00:00 PM,1/8/2017 9:00:00 PM,1/8/2017 4:00:00 PM,DUQ,1831
1/8/2017 9:00:00 PM,1/8/2017 4:00:00 PM,1/8/2017 10:00:00 PM,1/8/2017 5:00:00 PM,DUQ,1861
1/8/2017 10:00:00 PM,1/8/2017 5:00:00 PM,1/8/2017 11:00:00 PM,1/8/2017 6:00:00 PM,DUQ,1954
1/8/2017 11:00:00 PM,1/8/2017 6:00:00 PM,1/9/2017 12:00:00 AM,1/8/2017 7:00:00 PM,DUQ,1967
1/9/2017 12:00:00 AM,1/8/2017 7:00:00 PM,1/9/2017 1:00:00 AM,1/8/2017 8:00:00 PM,DUQ,1961
1/9/2017 1:00:00 AM,1/8/2017 8:00:00 PM,1/9/2017 2:00:00 AM,1/8/2017 9:00:00 PM,DUQ,1931
1/9/2017 2:00:00 AM,1/8/2017 9:00:00 PM,1/9/2017 3:00:00 AM,1/8/2017 10:00:00 PM,DUQ,1906
1/9/2017 3:00:00 AM,1/8/2017 10:00:00 PM,1/9/2017 4:00:00 AM,1/8/2017 11:00:00 PM,DUQ,1816
