datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/4/2015 1:00:00 PM,1/4/2015 8:00:00 AM,1/4/2015 2:00:00 PM,1/4/2015 9:00:00 AM,DUQ,1286
1/4/2015 2:00:00 PM,1/4/2015 9:00:00 AM,1/4/2015 3:00:00 PM,1/4/2015 10:00:00 AM,DUQ,1338
1/4/2015 3:00:00 PM,1/4/2015 10:00:00 AM,1/4/2015 4:00:00 PM,1/4/2015 11:00:00 AM,DUQ,1374
1/4/2015 4:00:00 PM,1/4/2015 11:00:00 AM,1/4/2015 5:00:00 PM,1/4/2015 12:00:00 PM,DUQ,1399
1/4/2015 5:00:00 PM,1/4/2015 12:00:00 PM,1/4/2015 6:00:00 PM,1/4/2015 1:00:00 PM,DUQ,1400
1/4/2015 6:00:00 PM,1/4/2015 1:00:00 PM,1/4/2015 7:00:00 PM,1/4/2015 2:00:00 PM,DUQ,1416
1/4/2015 7:00:00 PM,1/4/2015 2:00:00 PM,1/4/2015 8:00:00 PM,1/4/2015 3:00:00 PM,DUQ,1401
1/4/2015 8:00:00 PM,1/4/2015 3:00:00 PM,1/4/2015 9:00:00 PM,1/4/2015 4:00:00 PM,DUQ,1417
1/4/2015 9:00:00 PM,1/4/2015 4:00:00 PM,1/4/2015 10:00:00 PM,1/4/2015 5:00:00 PM,DUQ,1478
1/4/2015 10:00:00 PM,1/4/2015 5:00:00 PM,1/4/2015 11:00:00 PM,1/4/2015 6:00:00 PM,DUQ,1597
1/4/2015 11:00:00 PM,1/4/2015 6:00:00 PM,1/5/2015 12:00:00 AM,1/4/2015 7:00:00 PM,DUQ,1622
1/5/2015 12:00:00 AM,1/4/2015 7:00:00 PM,1/5/2015 1:00:00 AM,1/4/2015 8:00:00 PM,DUQ,1621
1/5/2015 1:00:00 AM,1/4/2015 8:00:00 PM,1/5/2015 2:00:00 AM,1/4/2015 9:00:00 PM,DUQ,1629
1/5/2015 2:00:00 AM,1/4/2015 9:00:00 PM,1/5/2015 3:00:00 AM,1/4/2015 10:00:00 PM,DUQ,1613
1/5/2015 3:00:00 AM,1/4/2015 10:00:00 PM,1/5/2015 4:00:00 AM,1/4/2015 11:00:00 PM,DUQ,1535
1/5/2015 4:00:00 AM,1/4/2015 11:00:00 PM,1/5/2015 5:00:00 AM,1/5/2015 12:00:00 AM,DUQ,1457
1/5/2015 5:00:00 AM,1/5/2015 12:00:00 AM,1/5/2015 6:00:00 AM,1/5/2015 1:00:00 AM,DUQ,1413
1/5/2015 6:00:00 AM,1/5/2015 1:00:00 AM,1/5/2015 7:00:00 AM,1/5/2015 2:00:00 AM,DUQ,1375
1/5/2015 7:00:00 AM,1/5/2015 2:00:00 AM,1/5/2015 8:00:00 AM,1/5/2015 3:00:00 AM,DUQ,1366
1/5/2015 8:00:00 AM,1/5/2015 3:00:00 AM,1/5/2015 9:00:00 AM,1/5/2015 4:00:00 AM,DUQ,1395
1/5/2015 9:00:00 AM,1/5/2015 4:00:00 AM,1/5/2015 10:00:00 AM,1/5/2015 5:00:00 AM,DUQ,1428
1/5/2015 10:00:00 AM,1/5/2015 5:00:00 AM,1/5/2015 11:00:00 AM,1/5/2015 6:00:00 AM,DUQ,1510
1/5/2015 11:00:00 AM,1/5/2015 6:00:00 AM,1/5/2015 12:00:00 PM,1/5/2015 7:00:00 AM,DUQ,1690
1/5/2015 12:00:00 PM,1/5/2015 7:00:00 AM,1/5/2015 1:00:00 PM,1/5/2015 8:00:00 AM,DUQ,1793
1/5/2015 1:00:00 PM,1/5/2015 8:00:00 AM,1/5/2015 2:00:00 PM,1/5/2015 9:00:00 AM,DUQ,1843
1/5/2015 2:00:00 PM,1/5/2015 9:00:00 AM,1/5/2015 3:00:00 PM,1/5/2015 10:00:00 AM,DUQ,1878
1/5/2015 3:00:00 PM,1/5/2015 10:00:00 AM,1/5/2015 4:00:00 PM,1/5/2015 11:00:00 AM,DUQ,1897
1/5/2015 4:00:00 PM,1/5/2015 11:00:00 AM,1/5/2015 5:00:00 PM,1/5/2015 12:00:00 PM,DUQ,1916
1/5/2015 5:00:00 PM,1/5/2015 12:00:00 PM,1/5/2015 6:00:00 PM,1/5/2015 1:00:00 PM,DUQ,1904
1/5/2015 6:00:00 PM,1/5/2015 1:00:00 PM,1/5/2015 7:00:00 PM,1/5/2015 2:00:00 PM,DUQ,1891
1/5/2015 7:00:00 PM,1/5/2015 2:00:00 PM,1/5/2015 8:00:00 PM,1/5/2015 3:00:00 PM,DUQ,1858
1/5/2015 8:00:00 PM,1/5/2015 3:00:00 PM,1/5/2015 9:00:00 PM,1/5/2015 4:00:00 PM,DUQ,1853
1/5/2015 9:00:00 PM,1/5/2015 4:00:00 PM,1/5/2015 10:00:00 PM,1/5/2015 5:00:00 PM,DUQ,1889
1/5/2015 10:00:00 PM,1/5/2015 5:00:00 PM,1/5/2015 11:00:00 PM,1/5/2015 6:00:00 PM,DUQ,2014
1/5/2015 11:00:00 PM,1/5/2015 6:00:00 PM,1/6/2015 12:00:00 AM,1/5/2015 7:00:00 PM,DUQ,2045
1/6/2015 12:00:00 AM,1/5/2015 7:00:00 PM,1/6/2015 1:00:00 AM,1/5/2015 8:00:00 PM,DUQ,2030
1/6/2015 1:00:00 AM,1/5/2015 8:00:00 PM,1/6/2015 2:00:00 AM,1/5/2015 9:00:00 PM,DUQ,1982
1/6/2015 2:00:00 AM,1/5/2015 9:00:00 PM,1/6/2015 3:00:00 AM,1/5/2015 10:00:00 PM,DUQ,1922
1/6/2015 3:00:00 AM,1/5/2015 10:00:00 PM,1/6/2015 4:00:00 AM,1/5/2015 11:00:00 PM,DUQ,1832
1/6/2015 4:00:00 AM,1/5/2015 11:00:00 PM,1/6/2015 5:00:00 AM,1/6/2015 12:00:00 AM,DUQ,1694
